time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.5194	2	5	3	63	0.000274104
3.51978	2	5	3	110	0.000278568
3.52022	2	5	3	110	0.000278568
3.52066	2	5	3	63	0.000278568
3.52103	2	5	3	110	0.000278568
3.52147	2	5	3	110	0.000278568
3.52191	2	5	3	63	0.000278568
3.52228	2	5	3	110	0.000278568
3.52272	2	5	3	110	0.000278568
3.52316	2	5	3	63	0.000278568
3.52353	2	5	3	110	0.000278568
3.52397	2	5	3	110	0.000278568
3.5244	2	5	3	63	0.000274104
3.52478	2	5	3	110	0.000278568
3.52522	2	5	3	110	0.000278568
3.52566	2	5	3	63	0.000278568
3.52603	2	5	3	110	0.000278568
3.52647	2	5	3	110	0.000278568
3.52691	2	5	3	63	0.000278568
3.52728	2	5	3	110	0.000278568
3.52772	2	5	3	110	0.000278568
3.52816	2	5	3	63	0.000278568
3.52853	2	5	3	110	0.000278568
3.52897	2	5	3	110	0.000278568
3.5294	2	5	3	63	0.000274104
3.52978	2	5	3	110	0.000278568
3.53022	2	5	3	110	0.000278568
3.53066	2	5	3	63	0.000278568
3.53103	2	5	3	110	0.000278568
3.53147	2	5	3	110	0.000278568
3.53191	2	5	3	63	0.000278568
3.53228	2	5	3	110	0.000278568
3.53272	2	5	3	110	0.000278568
3.53316	2	5	3	63	0.000278568
3.53353	2	5	3	110	0.000278568
3.53397	2	5	3	110	0.000278568
3.5344	2	5	3	63	0.000274104
3.53478	2	5	3	110	0.000278568
3.53522	2	5	3	60	0.000278568
3.53547	2	7	3	110	0.000278568
3.53566	2	5	3	56	0.000278568
3.53572	2	6	3	110	0.000278568
3.53591	2	7	3	4	0.000278568
3.53616	2	6	3	4	0.000278568
3.53622	2	5	3	56	0.000278568
3.53635	2	7	3	110	0.000278568
3.5366	2	5	3	56	0.000278568
3.53672	2	6	3	110	0.000278568
3.53678	2	7	3	110	0.000274104
3.53716	2	6	3	110	0.000278568
3.53722	2	7	3	63	0.000278568
3.53728	2	5	3	56	0.000278568
3.5376	2	6	3	7	0.000278568
3.53778	2	7	3	110	0.000278568
3.53797	2	5	3	56	0.000274104
3.53797	2	6	3	110	0.000278568
3.53822	2	7	3	60	0.000278568
3.53841	2	6	3	110	0.000278568
3.53872	2	5	3	56	0.000274104
3.53878	2	7	3	110	0.000278568
3.53885	2	6	3	63	0.000278568
3.53922	2	7	3	60	0.000278568
3.5394	2	5	3	56	0.000274104
3.53947	2	6	3	110	0.000278568
3.53972	2	7	3	110	0.000278568
3.53991	2	6	3	60	0.000278568
3.54003	2	5	3	56	0.000278568
3.54016	2	7	3	60	0.000278568
3.54041	2	6	3	110	0.000278568
3.54059	2	7	3	110	0.000274104
3.54072	2	3	3	56	0.000278568
3.54078	2	5	3	56	0.000278568
3.54085	2	6	3	60	0.000278568
3.54103	2	7	3	60	0.000278568
3.54122	2	6	3	56	0.000278568
3.54141	2	5	3	56	0.000278568
3.5416	2	7	3	110	0.000278568
3.54172	2	6	3	110	0.000278568
3.54203	2	7	3	60	0.000278568
3.54215	2	5	3	56	0.000274104
3.54216	2	6	3	60	0.000278568
3.54253	2	7	3	110	0.000278568
3.5426	2	6	3	110	0.000278568
3.54291	2	5	3	56	0.000278568
3.54297	2	7	3	110	0.000278568
3.54303	2	6	3	60	0.000274104
3.54341	2	7	3	63	0.000278568
3.5436	2	6	3	110	0.000278568
3.54372	2	5	3	56	0.000274104
3.54397	2	7	3	110	0.000278568
3.54403	2	6	3	4	0.000274104
3.54439	2	5	3	56	0.000265176
3.5444	2	6	3	110	0.00026964
3.5444	2	7	3	110	0.000274104
3.54484	2	6	3	110	0.000274104
3.54485	2	7	3	63	0.000278568
3.5451	2	5	3	56	0.000278568
3.54528	2	6	3	63	0.000274104
3.54528	2	7	3	110	0.000278568
3.54572	2	7	3	60	0.000278568
3.54578	2	5	3	56	0.000278568
3.54597	2	6	3	110	0.000278568
3.54622	2	7	3	110	0.000278568
3.54641	2	6	3	60	0.000278568
3.54653	2	5	3	56	0.000278568
3.54665	2	7	3	60	0.000274104
3.54678	2	6	3	56	0.000274104
3.5471	2	7	3	110	0.000278568
3.54716	2	6	3	110	0.000278568
3.54735	2	5	3	56	0.000278568
3.54753	2	7	3	110	0.000278568
3.5476	2	6	3	60	0.000278568
3.54797	2	7	3	63	0.000278568
3.54809	2	5	3	56	0.000274104
3.5481	2	6	3	110	0.000278568
3.54853	2	6	3	60	0.000278568
3.5486	2	7	3	110	0.000278568
3.54885	2	5	3	56	0.000278568
3.54897	2	6	3	110	0.000278568
3.54903	2	7	3	110	0.000274104
3.5494	2	6	3	60	0.000274104
3.54947	2	7	3	63	0.000278568
3.5496	2	5	3	56	0.000278568
3.54978	2	6	3	56	0.000278568
3.5501	2	7	3	110	0.000278568
3.55016	2	6	3	110	0.000278568
3.55041	2	5	3	56	0.000278568
3.55053	2	7	3	60	0.000278568
3.55059	2	6	3	110	0.000274104
3.55103	2	6	3	63	0.000278568
3.5511	2	7	3	110	0.000278568
3.55116	2	5	3	56	0.000278568
3.55147	2	6	3	110	0.000278568
3.55153	2	7	3	110	0.000278568
3.55191	2	6	3	110	0.000278568
3.55197	2	7	3	110	0.000278568
3.55235	2	6	3	110	0.000278568
3.55241	2	7	3	110	0.000278568
3.55278	2	6	3	110	0.000278568
3.55291	2	7	3	110	0.000278568
3.55322	2	6	3	110	0.000278568
3.55335	2	7	3	231	0.000278568
3.55366	2	6	3	110	0.000278568
3.55378	2	7	3	110	0.000278568
3.5541	2	6	3	110	0.000278568
3.55422	2	7	3	110	0.000278568
3.55453	2	6	3	110	0.000278568
3.55466	2	7	3	110	0.000278568
3.55497	2	6	3	110	0.000278568
3.5551	2	7	3	110	0.000278568
3.55541	2	6	3	110	0.000278568
3.55553	2	7	3	110	0.000278568
3.55585	2	6	3	110	0.000278568
3.55597	2	7	3	231	0.000278568
3.55628	2	6	3	110	0.000278568
3.55641	2	7	3	110	0.000278568
3.55672	2	6	3	110	0.000278568
3.55685	2	7	3	110	0.000278568
3.55716	2	6	3	110	0.000278568
3.55728	2	7	3	110	0.000278568
3.5576	2	6	3	210	0.000278568
3.55772	2	7	3	110	0.000278568
3.55815	2	6	3	110	0.000274104
3.55816	2	7	3	110	0.000278568
3.55859	2	6	3	110	0.000274104
3.5586	2	7	3	110	0.000278568
3.55902	2	6	3	110	0.000265176
3.55903	2	7	3	231	0.000274104
